Тема обращения,Текст обращения,Время обращения,Имя пользователя - автора обращения,Регион составителя обращения,Текст ответа,Время ответа,Имя пользователя - автора ответа,Оценка клиента
Штрафные санкции,"Здравствуйте! Обращаюсь к вам по поводу выставленного штрафа (по договору № С04100779337 от 11.06.2014 г).Первый момент: оформили автокредит» у банка «Сетелем» в салоне, выбор делали относительно удобства оплаты платежа (банковский работник заявил, что проплачивать нужно только через сбербанк-онлайн, платеж поступает день в день, без процентов..). Старалась проплачивать раньше даты списания, но были 2 платежа, когда не было возможности оплатить кредит раньше, поэтому деньги переводила в дату списания, а поступали они значительно позже. В итоге: у меня образовался штраф в размере 3865р (получилось 2 просроченных платежа).Второй момент: появился штраф за вовремя непредоставленное КАСКО в размере 10 000 р. За неделю до окончания договора страхования по Каско, я поехала в страховую компанию «Аско», где была застрахована ранее, где получила отказ, аргументировали так: Вы были слишком убыточны у нас в том году, поэтому страховать вас не будем (ДТП было не по моей вине). Обратилась еще в 2 компании, где тоже получилаотказ, и еще 2 компании насчитали мне огромные суммы за полис Каско. Звонков и рекомендаций от вашего банка не поступало по этому поводу.Прошу вас отменить штрафные санкции за вовремя непредоставленное Каско (постараюсь в ближайшее время решить этот вопрос, пойду в страховую компанию ВСК). И еще очень вас прошу отменить штрафные санкции по просрочке, в связи с финансовыми трудностями, так как хочется совершать платежи вовремя не только в вашем банке.С ув. Елена.",19.08.2015 19:14,elena_197523,Оренбург,"Уважаемая Елена Александровна!Благодарим Вас за обратную связь на данном сайте.По существу Вашего обращения информируем Вас о том, что в соответствии с Общими условиями Банка, Вы обязаны пролонгировать полис КАСКО ежегодно и предоставлять документы, подтверждающие своевременную пролонгацию в течении 30 дней после окончания периода страхования.Обращаем Ваше внимание, что на официальном сайте Банка www.cetelem.ru размещена Памятка по пролонгации КАСКО, а также размещена информация, которая может понадобиться клиентам при пролонгации полиса: https://www.cetelem.ru/faq#q-96.Также, в соответствии с кредитным Договором Вы обязаны осуществлять оплату по кредиту, согласно Графику платежей не меньше суммы ежемесячного платежа.В случае, неисполнения условий Банка в части оплаты кредита, Банк вправе выставлять штрафные санкции к оплате.Тем не менее, приняв во внимание описанные Вами факты, Банком было принято решение об отмене штрафных санкций. Более подробная информация была предоставлена сотрудником Банка при исходящем звонке на Ваш контактный номер.Надеемся, что наше последующее сотрудничество принесет Вам исключительно положительные эмоции.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-08-20 13:20:00,Сетелем Банк,3
Некомпетентность и непрофессионализм сотрудников,"Ранее мной был взят потребительский кредит в Сетелем Банке, который был в последующем досрочно погашен в размере, указанном в интернет-банке. После полного досрочного погашения оказалось, что сумма была переведена в бОльшем размере, чем необходимо. Для возврата данной суммы было предложено обратиться к сотруднику банка на точке продаж. Для получения информации о самой ближайшей точке я позвонила в контакт-центр Банка, где сотрудник очень долго перечислял мне список всех точек и никак не желал ограничиться нужным мне районом или станцией метро (видимо, в банке отсутствует такая возможность). В итоге точка была найдена: магазин ""Снежная Королева"" в ТРЦ ""Метрополис"".Приехав туда, я выяснила, что в данном магазине точки продаж уже давно нет, она перенесена в соседний магазин ""М-видео"" (в контакт-центре банка неактуальная информация по точкам продаж). Посетив точку в М-Видео я не обнаружила эксперта на месте (возможно, был обеденный перерыв, но на стенде никакой информации о начале и окончании перерыва не было), эксперта я смогла застать минут через 30, но, к сожалению, времени на заполнение заявления у меня уже не оставалось. Я поинтересовалась, есть ли у них обеденный перерыв и, если да, то в какое время. Сотрудник банка отрицал наличие оного как такового, мол работаем мы без обеда.В следующий раз я отправилась в Метрополис через неделю. Помятуя грустный опыт про ""отсутствие обеденного перерыва"", я решила отправиться туда около 12 часов (05.06.2015). Каково же было мое удивление, когда и на этот раз не удалось обнаружить сотрудника Банка на месте! Но в этот раз на стенде была памятка о нахождении сотрудника в торговом зале и номер его мобильного телефона. Я позвонила и выяснила, что сотрудник находится на улице, за пределами ТРЦ. Чтобы добраться до точки ему потребовалось 15 минут, при этом на вопрос, есть ли у них обеденный перерыв и почему информацию о нем они не указывают на точке, сотрудник ответил, что обед у них в интервале с 12 до 15 (что несколько противоречило ранее сказанному его коллегой). Больше всего удивила фраза сотрудника Банка: ""Если Вам надо, то Вы подождете... (!!!)""Я попыталась позвонить в контакт-центр банка, дабы выяснить про рабочие часы кредитных специалистов на точках, но, как и в прошлый раз, актуальной информации о точках у них не оказалась... Т.е. данной точки вообще никогда не было в списке... О рабочих часах тоже ничего не смогли сказать... Я дождалась сотрудника, заполнила необходимое заявление о переводе излишних средств на мой счет, при этом уточнила, будет ли банком взята комиссия за перевод. Сотрудник Александр (отказавшийся называть свою фамилию) клятвенно меня уверил, что перевод будет абсолютно бесплатным и будет выполнен в течение 5 дней. Через пару часов он мне перезвонил и сообщил, что забыл сделать копию моего паспорта. Пришлось ехать в третий раз. Деньги пришли, как и было обещано, через 5 дней, но в размере, уменьшенном на сумму комиссии...В итоге: 3 поездки (время!), хамское отношение к клиентам, отсутствие актуальной информации в контакт-центре по точкам продаж, недостоверная информация о комиссиях при переводах на счета клиентов в других банках.",09.06.2015 16:38,rua_guz,Москва,"Принимаем ""3"".",2015-06-15 16:44:31,Администратор народного рейтинга,3
Не проходит полное досрочное погашение кредита,"31.03.2015 заказал полное досрочное погашение. 23.04.2015 приходит смс напоминание: баланс счета 4.00 Для полного погашения кредита необходимо обеспечить на вашем счете 40 867.54 до 29.04.15. 25.04.2015 я вношу через сберовскую карту 40 867р в личном кабинете остаток 40 871р.В итоге сегодня 30.04.2015 приходит смс, о том, что погашение не прошло. Оставил обращение через личный кабинет, позвонили из колл-центра и сказали, что для досрочки требуется чтобы на счете было 40 871.54. Делаю вывод, что банк из всех сил пытается обеспечить себе доходы, вводя в заблуждение клиентов. Я получается переплачиваю более 700р на ровно месте.",30.04.2015 21:56,zhuk1999,Москва,Оценка изменена по просьбе автора.,2015-05-06 11:12:20,Администратор народного рейтинга,3
Страхование жизни и здоровья,"Мне одобрен автокредит, в салоне фаворит моторс. При расчете суммы платежей менеджер Анна утверждает, что одобрение произошло со страхованием жизни и здоровья.Можно ли отказаться до подписания договора от страховки? Ваш менеджер утверждает, что при отказе аннулируют кредит! Как быть в этой ситуации? С одной стороны и авто хочется, с другой.На каком основании, не предупреждая, сотрудники банка тупо навязывают, то что не нужно, не информируя об этом клиентов?",15.04.2015 09:36,Kemp401,Москва,"Уважаемый автор, укажите, пожалуйста, дату и адрес оформления кредита. Вы хотели отказаться от страховки, когда кредит уже был одобрен? При оформлении Вас сотрудник ознакомил со страховкой? Расскажите, подробнее. Из вашего отзыва не совсем понятно, как обстояло дело. Сотрудник всё-таки не предупредил Вас и подключит по умолчанию или навязал Вам её. Как именно навязал?",2015-04-17 14:49:01,Администратор народного рейтинга,3
Навязывание страховки! Обман сотрудников!,"Пошли брать кредит на пылесос, только сказали про желание взять в кредит сразу появилась девушка с Сетелем Банка и сказала, что они от Сбербанка России и у них самые низкие проценты, .. Согласились прошли с девушкой, которая очень вежливая оказалась, к ее столу, начали все оформлять. Брал кредиты не один раз, опыт большой! Законы знаю... Сразу до оформлении начал настаивать, чтобы не было никаких страховок совсем, не нужны они мне, на что девушка ответила, что она включена в условие выдачи кредита, и что с ней и что без нее сумма платежей будет та же ... Что она (девушка) никак не может на это повлиять и убрать ее с кредита... Я начал настаивать, что ""галочки"" она пусть не ставит, я не хочу страховку, в ответ опять я на то не влияю - страховку включает сама система в кредит автоматом при вынесении решения о выдаче. Жутко удивился ""новым законам"", но что поделаешь...Оформили кредит, подписал заявление на страхование,  а именно за подключение к Программе коллективного добровольного страхования заемщиков Сетелем Банка ""Сбербанк страхование жизни"" содрали 3974 руб. и сумма включена в тело кредита, т.е. я еще и страховку взял в кредит! И глянул стоят ведь галочки, поставленные девушкой, что я ""желаю"" подключиться к этой программе... Ну вот как тут не ругаться.. зачем так врать бессовестно-то? И главное, ладно бы мы не возмущались, а тут несколько раз просили и спорили, что не надо, что она ставит эти галочки, как об стену горох... Банк не честными методами распространяет свои дополнительные продукты! Жена начала звонить, выяснять как можно от этого отказаться и вернуть деньги, по телефону молодой человек сказал искать заявление на сайте Сетелема и отправлять по почте им с копией паспорта со страницей где фото. Так же молча без вопросов ко мне в тело кредита было включено смс информирование 588 руб., ну да бог с ним...Заявление на отказ от услуги страхования отправил на почту с копией паспорта, даже письмом перового класса с уведомлением, буду ждать возврата на счет средств с нетерпением... посмотрим на добросовестность Банка... К слову, по горячей линии со мной общались очень вежливо, парень сразу сказал, что не имели права навязывать, это добровольно) объяснил, что и как сделать, где взять образец заявления и на какой адрес отправить, слава богу не прошло 21 дня! Кредит брали 9 февраля, заявление отправил 19 февраля, иначе бы деньги не вернули, со слов парня. Еще удобно, что платить можно через сбербанк онлайн и без процентов за платеж, что обычно тоже итого выливается в весомую сумму к кредиту. Создал шаблон сразу и теперь буду только кнопочку раз в месяц нажимать.Вроде и Банк ничего, бросил бы он так навязывать страховку и упростил оформление досрочного погашения, было бы отлично! Ну что за глупости заказывать за месяц, деньги появились, пошел погасил, а тут ждать целый месяц и платить ненужные проценты - наглость. В других банках позвонил - заказал на ЛЮБОЕ ЧИСЛО ТЕКУЩЕГО МЕСЯЦА, сумму посчитали-озвучили, сходил положил, дата настала (хоть завтра, но лучше 4 рабочих дня, чтобы деньги успели дойти), средства списались и все свободен, пошел получил справку банка, а тут целая эпопея... упростите уже... сами клиентов теряете, весь интернет в негативных отзывах о Вас и именно по двум причинам - навязывание страховки и невозможность быстрого и беспроблемного досрочного погашения. Теперь ждем...",21.02.2015 14:25,antonio86,Калининград,"Уважаемый Антон Валерьевич.Банк благодарит Вас за предоставленную обратную связь. Сожалеем, что взаимодействие с Банком не оставило у Вас положительного впечатления. Мы надеемся, что наше дальнейшее сотрудничество оправдает Ваши ожидания.Вместе с тем, обращаем Ваше внимание на то, что одновременно с заключением Договора Вы подписали Заявление на страхование, тем самым подтвердив Ваше желание подключиться к Программе коллективного добровольного страхования от несчастных случаев и болезней со страховой компанией ООО СК ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ"". Страхование от несчастных случаев и болезней не является обязательным для получения потребительского кредита в Банке, и решение Банка о выдаче кредита не зависит от подключения или не подключения к Программе коллективного добровольного страхования. Тарифы по целевым потребительским кредитам также не зависит от наличия или отсутствия услуг страхования.На данный момент Банком, не были получены документы на отключение услуги страхования жизни.Банк приносит Вам свои извинения за некорректную консультацию со стороны сотрудников, информация по работе данных сотрудников доведена до руководства и Банком будет разработан комплекс мер по исключению подобных ситуаций в будущем.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-02-24 14:05:49,Сетелем Банк,3
Кредит и индивидуальная работа,"В конце декабря я взял кредит на автомобиль. По условиям кредита необходимо в определенный срок принести в банк ПТС. После получения ПТС (в районе 20-х чисел декабря) я через гос.услуги записался в ГИБДД на оформление автомобиля, но удалось записаться только на 3 января. Формально я должен был принести ПТС в банк до окончания праздников. Причем я хотел принести именно в банк, а не передавать через каких-то дилеров, т.к. очень хотел получить живую подпись и печать на кредитный договор. Банк в период новогодних праздников не работал и возможности отнести ПТС в банк у меня не было.13 января мне от банка пришла смс о том, что мне необходимо в течении 5 дней принести ПТС во избежание начисления штрафа. Из чего можно сделать вывод, что банк продлил срок на предоставление ПТС в связи с праздниками, что выглядит ожидаемо и очень логично. Однако, когда я в течении этих 5 дней и до окончания 1-й послепраздничной рабочей недели пришел в банк и отдал ПТС мне было сказано, что я просрочил и штраф будет списан автоматически, на что была оставлена письменная претензия о невозможности до НГ поставить машину на учет и в связи с праздниками принести ПТС с просьбой пойти навстречу в связи с данными фактами и не применять штрафные санкции.Позже со мной связались из банка и сказали, если я предоставлю заверенные данные из ГИБДД о том, что не было записи ранее чем на 3 января для постановки на учет через гос.услуги, то штраф применять не будут. На возражение, что такой документ предоставить просто невозможно, оператор ответил, что тогда ничем помочь не может и будет штраф. Я понял, что им необходим какой-то документ для принятия такого решения по формальному признаку согласно их внутренним правилам и попросил предоставить мне справку о том, что банк в праздничные дни не работал, на что получил ответ о том, что такую справку они не выдают, а праздники государственные и они как банк не работали, и справку о том, что они не работали в связи с праздниками мне надо получить у правительства РФ. Такая справка поможет в решении моей ситуации.На абсурдность того, что справка о том, что банк не работал в гос. праздники я должен получить у правительства РФ оператор как заевший патефон продолжал упорно говорить, что справку не дадим и надо получать у правительства. Пришлось оставить претензию с просьбой выдать справку о том, что банк не может мне выдать справку о том, что банк не работал в праздники. Претензию приняли, и через несколько дней пошли навстречу, и отменили штрафные санкции. За это банку большое СПАСИБО и + в карму, но за неготовность сотрудников в индивидуальном порядке решать проблемы клиентов, а банку изменять сроки предоставления документов в связи с выходными днями жирный минус. Поэтому оценка 3.Еще очень странный момент - мне так и не удалось получить копию договора с живой печатью и подписью ответственного сотрудника. У меня договор с распечатанной подписью и без каких-либо печатей!",17.02.2015 12:57,prankish,Москва,"Уважаемый Тимур Валерьевич!Банк приносит Вам свои искренние извинения за неудобства, возникшие в результате описанной Вами ситуации. В первую очередь хотим выразить Вам свои сожаления относительно ситуации, с которой Вам пришлось столкнуться. Заверяем Вас, что предоставленная Вами информация доведена до непосредственного руководителя сотрудников Банка. Мы заинтересованы в качестве предоставляемого сервиса и уделяем особое внимание обращениям наших Клиентов.Мы подробно рассмотрели описанную Вами ситуацию и хотели бы обратить Ваше внимание на то, что в соответствии с подписанным Договором по вопросу отсутствия печати на справке об отсутствии задолженности Банк сообщает, что п. 1 ст. 160 Гражданского кодекса Российской Федерации (далее по тексту - «ГК РФ») предусматривает, что законодательством Российской Федерации, иными правовыми актами и соглашением сторон могут устанавливаться дополнительные требования, которым должна соответствовать форма сделки (совершение на бланке определенной формы, скрепление печатью и т.п.), и предусматриваться последствия несоблюдения этих требований. При этом, законодательство Российской Федерации, иные правовые акты и договор о предоставлении целевого потребительского кредита на приобретение автотранспортного средства.Также Банк обращает Ваше внимание, что п. 7.14 договора о предоставлении целевого потребительского кредита на приобретение автотранспортного средства предусматривает согласие клиента на применение аналога собственноручной подписи уполномоченного сотрудника Банка. В силу указанного условия договора о предоставлении целевого потребительского кредита на приобретение автотранспортного средства, а также с учетом норм п. 2 ст. 160 ГК РФ, при заключении договоров Банк использует аналог собственноручной подписи уполномоченного сотрудника Банка.Искренне сожалеем, что данная ситуация повлияла на Ваше мнение о Банке и надеемся на дальнейшее сотрудничество.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-02-17 14:17:00,Сетелем Банк,3
"""...пеняйте на себя!""","Добрый вечер!В Сетелем банке долг немного больше 10 тыс рублей. К большому сожалению не могу выплатить сейчас эту сумму по той причине, которую ранее озвучивала сотрудникам банка по телефону и описывала в письме! В 19-41 по московскому времени на мой личный телефон позвонила сотрудник банка с этого номера телефона +7845237****, не представилась как положено, уточнила адрес проживания и прописки, услышав голоса детей начала выпытывать - чьи это дети, известно с какой целью. Сказала, чтобы на следующей неделе я приготовила залоговое имущество, так как приедет выездная группа вместе с судебным приставом для его изъятия!Когда я спросила о том, на каком основании без суда ко мне приедет судебный пристав и будет описывать мое имущество-перевела  разговор на другую тему, закончив свою речь словами- ""....не заплатите до следующей недели-пеняйте на себя!"" и бросила трубку...Прошу разобраться в этой ситуации с целью повышения качества обслуживания клиентов банка. Ведь о какой компетенции и серьезности банка может идти речь, если его сотрудники позволяют себе такие вольности! И что за безграмотность в знании законов  и понукание судебными приставами? При повторении подобного, а это уже не первый раз, я вынуждена буду обратиться в соответствующие органы с привлечением сотрудников по всем соответствующим статьям!",10.02.2015 20:03,d*******@mail.ru,Ставрополь,"Уважаемая Евгения Викторовна!Мы благодарим Вас за предоставление обратной связи нашему Банку.По существу Вашего обращения, мы искренне сожалеем, что при разговоре с сотрудником Банка Вы почувствовали себя оскорбленной. Уведомляем Вас, что Банком будут приняты все необходимые меры во избежание подобных ситуаций в будущем.Также обращаем Ваше внимание, что Банк нацелен на политику ответственного кредитования, мы внимательно относимся к сервису, предоставляемому клиентам, в связи с чем для нас важно получение обратной связи от клиентов.Надеемся, что в будущем сотрудничество с Банком оправдает оказанное доверие и вызовет у Вас исключительно положительные впечатления.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-02-11 13:30:00,Сетелем Банк,3
ПТС,"Я Т-н Рустам Олегович, по договору 04101137684 приобрел автокредит. ПТС салоном была выдана на 14 день после оформления автокредита и тогда я забрал машину, т.к. проблемы были поставки из москвы в златоуст ПТС. Не успел оформить и отдать птс, т.к. как не было в комплекте зимней резины.14 дней потеряны не по моей вине, прошу вернуть и списать оплаченный штраф в размере 5000. К банку нареканий больше нет, кроме штрафа, почему не обозначено время выдачи мне на руки ПТС? В данное время ПТС уже в банке.",10.02.2015 19:24,nastena-kuts,Златоуст,"Уважаемый Рустам Олегович!Мы благодарим Вас за предоставление обратной связи посредством данного сайта.В своей работе Банк нацелен исключительно на политику ответственного кредитования и для своих клиентов мы стараемся обеспечить комфортные условия кредитования. В связи с этим Банк рассмотрел Ваше обращение и принял решение об отмене штрафных санкций за ПТС.Надеемся, что решение данного вопроса положительно повлияет на наше дальнейшее сотрудничество и в будущем Банк оправдает оказанное доверие.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-02-11 13:28:00,Сетелем Банк,3
Автокредитование,"В 2013 году мной, Иваровским Алексеем Анатольевичем, был оформлен автокредит в Сетелем Банке. При оформлении мной был подписан Договор, а также был получен график платежей, согласно которому я своевременно и в полном объеме произвожу оплату.Однако, сотрудниками Сетелем Банка были некорректно внесены сумма и дата платежей в компьютерную систему банка. В связи с этим, у меня начались проблемы. Периодически мне начисляются штрафы, которые списываются только при личном визите в банк, что не всегда удобно.Мной было осуществлено более десяти (!) визитов в банк, было составлено огромное количество претензий, на которые Сетелем Банк проигнорировал, оставив без внимания решение проблемы. Сотрудники отдела по работе с клиентами всякий раз относятся с пониманием, но сделать ничего не могут. Тем временем от сотрудников отдела взысканий регулярно поступают звонки с неправомерными угрозами, зачастую сопровождаемые откровенным хамством, что негативно сказывается на моем здоровье. При чем мне известно, что руководитель отдела взысканий ознакомлена с моей проблемой. Однако никаких мер не принимается.Создается впечатление, что Сетелем Банк абсолютно не заинтересован в проблемах своих клиентов.X С уважением, Иваровский А.А.",30.01.2015 23:19,смесь,Воскресенск,"Уважаемый Алексей Анатольевич!Мы благодарим Вас за опубликованный отзыв.По существу обращения, позвольте предоставить наши комментарии.Уведомляем Вас, что ранее, при Вашем обращении в Банк, по поводу различий в графике, находящемся у Вас на руках и тем, что в зафиксирован в системе Банка, было принято решение о том, что Вы производите оплату, согласно Вашего графика. Банк на ежемесячной основе возмещает Вам сумму разницы. Также Ваша кредитная история будет скорректирована согласно решению Банка.Тем не менее, Банк обращает Ваше внимание, что сумму ежемесячного платежа, Вам необходимо производить своевременно, не позже даты указанной в Вашем графике. В случае несвоевременного зачисления, Банк вправе взимать штрафные санкции согласно Тарифам Банка, в размере 15 % от суммы ежемесячного платежа.Таким образом, при проведении расследования было выявлено, что Вами 5 платежей было зачислено несвоевременно, а именно в декабре 2013 года - ежемесячный платеж не поступал в Банк, также в январе 2014 года Вы не обеспечили сумму ежемесячного платежа, далее в феврале 2014 года Вами была зачислена сумма позже установленной даты, и в меньшем размере, в марте 2014 года зачисление было позже установленной даты, и в мае 2014 года сумма ежемесячного платежа была зачислена позднее.Обращаем Ваше внимание, что информацию по зачислению денежных средств Вы можете наблюдать самостоятельно при помощи услуги ""Мой Банк"" на нашем сайте cetelem.ru.Таким образом, на данный момент в Банке присутствует сумма задолженности, включая сумму штрафных санкций за несвоевременную оплату. Банк рекомендует погасить данную задолженность в скорейшем времени, во избежание повторного начисления штрафных санкций.Также, хотим проинформировать Вас о том, что Банк нацелен на предоставление качественного сервиса нашим клиентам, в связи с чем, все звонки в Банке прослушиваются и записываются. Соответственно, если будет обнаружена некорректная консультация со стороны сотрудников, Банком немедленно будут применены необходимые меры.Надеемся, что наш ответ поможет в разрешении Вашего вопроса.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-02-02 19:51:00,Сетелем Банк,3
Пении из-за ошибки Банка,"Добрый день, хотела бы оставить отзыв о Сетелем банке. 10 октября 2014 года, мне посчастливилось оформить потребительский кредит в данном банке (договор номер 04003112852) на 10 месяцев. Сумма ежемесячного платежа согласно подписанного договора и графика платежей, составила 2 588 руб. У данного банка есть очень удобная услуга Личный кабинет, вот решила ей воспользоваться. Захожу в личный кабинет и вижу, что сумма ежемесячного платежа составляет 2 603 руб. Вроде бы разница то не велика, всего 15 рублей (за 10 месяцев выйдет 150 рублей), но меня возмутил тот факт, что банк изменил сумму платежа и никак не уведомил меня. ТО есть, если бы я каждый месяц платила согласно договора, то в конце срока накопилась не плохая бы задолженность + пении.Благо не далеко от работы, сходила и поинтересовалась, на каком основании повысился платеж. Мне говорят, договор свой вы оформляли 10 октября вечером (время было около 19,00), договор в этот день не успел попасть в базу, сотрудники ввели его только 11 октября, а там сменились какие то проценты и мне распечатывают новые график платежей. Никто мою проблему в Казани решить не попытался даже. Я со своего личного кабинета отправила обращение в Банк CL-96583 от 19.12.2014 г.В течении 5 дней мне перезвонил сотрудник вашего Банка и очень вежливо сказала, что это ошибка Банка, и платить мне стоит согласно договора, то есть 2 588 руб. В прошлом месяце (декабрь 2014 г.) перечислила с запасом на счет 2 603 руб., их благополучно списали. В это месяце на 19.01.2015 г. на моем счету было 2 588 руб.19 января 2015 г. списали денег, теперь на мне висит задолженность 15 руб. Вчера (20.01.2015 г.) пришло смс сообщение следующего характера: средств на счете не достаточно, если долг не будет оплачен в размере 15 руб, вам ежедневно будут начисляться штрафы в размере 0,02 руб. Неоднократно по этому поводу писала в банк CL-96583, CL-94392, CL-101139 с просьбой разобраться в данной ситуации. Почему я должна платить больше из за ошибки ваших сотрудников, или их нерасторопности. А если бы на следующий день когда они ввели в базу данных мой договор проценты повысились в два раза? Я тоже должна была это оплачивать. У меня на руках есть подписанный договор, график платежей, и все платежки по которым перечисляла денег.Еще раз прошу ответственных сотрудников Сетелем Банка рассмотреть мои обращения, и дать мне письменный ответ на каком основании Банк изменил платеж и начисляет мне пении за несуществующую просрочку.",21.01.2015 10:32,hitrtatr,Казань,"Уважаемый hitrtatr!Уважаемая Алина!Банк выражает Вам признательность за предоставление обратной связи.По существу Вашего обращения информируем Вас, что Банком была проведена проверка по факту несовпадения Графика платежей, подписанного Вами с Графиком платежей в информационной системе Банка. По факту проведенной проверки было установлено, что существующие различия возникли в результате технической ошибки. Дополнительно доводим до Вашего сведения, что, несмотря на обнаруженные расхождения, обязательство по погашению Ежемесячных платежей наступают для Вас в соответствии с Графиком платежей, подписанным Вами при заключении Договора. На ежемесячной основе не позднее, чем через 5 рабочих дней после списания Ежемесячного платежа, Банк обязуется компенсировать разницу в ежемесячных платежах на Ваш счет.Надеемся, что нам удалось помочь в решении ситуации, и дальнейшее сотрудничество с Банком будет исключительно положительным.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2015-01-27 07:24:00,Сетелем Банк,3
